X;Y
-2.00;5
0.00;2.00
1.10;0.00
1.60;1.90
3.10;2.80
4.10;3.20
4.80;4.80
5.20;7.10
5.50;7.50
7.00;6.60
8.00;10.30
9.00;6.1
9.50;8.00
10.20;7.7
0.60;1.20
9.10;10.00
11.1;7.2
2.40;-0.60
-1.80;2.1
-1.40;4.30
12.1;4
10.10;6.2
15.50;0
13.20;3.5
11.20;7.3
16.00;1
10.50;11.4
12.70;7.9
14.80;2.1
2.60;1.20
3.50;1.90
-1.60;1
7.20;7.20
13.30;6.90
7.40;6.50
-3.10;-0.2
-2.30;3.1
-0.80;0.50
-0.20;0.10
1.80;1.50
2.10;2.10
2.90;2.80
4.00;3.70
5.70;5.2
6.00;6.40
6.30;6.20
6.90;7.00
8.10;8.00
8.20;7.50
14.00;5
